fold,balanced_accuracy,auc
1,0.5919540229885057,0.5927750410509032
2,0.5205254515599343,0.6239737274220033
3,0.5681818181818181,0.6590909090909092
4,0.5909090909090908,0.625
5,0.5503246753246753,0.6866883116883117
6,0.6996753246753247,0.6875000000000001
7,0.676948051948052,0.7094155844155844
8,0.5324675324675324,0.5551948051948052
9,0.5957792207792207,0.6785714285714285
10,0.6542207792207793,0.6980519480519481
