model,balanced_accuracy,macro_f1
LogisticRegression,0.45368814192343604,0.443968283196902
GradientBoosting,0.38034547152194215,0.3759156811991406
SVM (RBF),0.3452380952380953,0.14753063028925098
RandomForest,0.3342203548085901,0.33296843641671225
KNN,0.3156395891690009,0.29565606806986117
