fold,balanced_accuracy,auc
1,0.5625,0.615079365079365
2,0.5744047619047619,0.5992063492063492
3,0.5535714285714286,0.5337301587301586
4,0.49702380952380953,0.41269841269841273
5,0.5625,0.5496031746031745
6,0.5565476190476191,0.5912698412698413
7,0.7291666666666667,0.7729166666666667
8,0.5248447204968945,0.505175983436853
9,0.6770186335403727,0.6956521739130435
10,0.5445134575569358,0.5300207039337475
