model,balanced_accuracy,macro_f1
LogisticRegression,0.6346726190476191,0.6356060606060606
RandomForest,0.5997023809523809,0.5978260869565217
GradientBoosting,0.5364583333333333,0.5349457246238811
KNN,0.5357142857142857,0.5351071692535108
SVM (RBF),0.5349702380952381,0.44940476190476186
