fold,balanced_accuracy,auc
1,0.4821428571428571,0.47420634920634924
2,0.5,0.5674603174603174
3,0.4851190476190476,0.498015873015873
4,0.5238095238095238,0.4722222222222222
5,0.5,0.5753968253968255
6,0.48809523809523814,0.48809523809523814
7,0.5059523809523809,0.5456349206349207
8,0.5,0.43253968253968256
9,0.4821428571428571,0.39880952380952384
10,0.5,0.4229166666666667
