model,balanced_accuracy,macro_f1
LogisticRegression,0.6284722222222222,0.6284153005464481
KNN,0.6041666666666667,0.6028552887735237
RandomForest,0.5694444444444444,0.5689617486338798
SVM (RBF),0.5190972222222222,0.4245154245154245
GradientBoosting,0.5104166666666667,0.5095081967213115
