feature,importance
parietal_ed_ratio,-0.017164179104477612
global_ed_total_ratio,-0.0029850746268656773
parietal_en_ratio,-0.002985074626865672
global_nc_en_ratio,-0.0022388059701492547
global_ed_en_ratio,-0.0022388059701492547
temporal_ed_ratio,-0.0022388059701492517
frontal_en_ratio,-2.7755575615628915e-18
occipital_nc_ratio,0.0
temporal_nc_ratio,0.0007462686567164173
occipital_ed_ratio,0.0014925373134328345
occipital_en_ratio,0.002985074626865669
tumor_burden_index,0.0037313432835820864
frontal_ed_ratio,0.005970149253731338
parietal_nc_ratio,0.007462686567164173
frontal_nc_ratio,0.00820895522388059
temporal_en_ratio,0.013432835820895512
