,count,mean,std,min,25%,50%,75%,max
global_nc_en_ratio,449.0,2.1569713021175145,36.1646142771477,0.0,0.0910075839653304,0.3375426306572034,0.6372633106815333,766.6205357142857
global_ed_en_ratio,449.0,12.979019272139308,69.54877685189345,0.0,1.2852016912352875,2.6944871749007264,5.503618711385702,1188.9811320754718
global_ed_total_ratio,449.0,0.6727578306943344,0.22903038610774562,0.0016645985291002,0.5161723498921247,0.6872677461276386,0.8546225953257303,1.0
tumor_burden_index,449.0,0.05956550937658471,0.03636868499058116,0.0006723673632466,0.0299690751381561,0.0555467438072291,0.0826777623769224,0.1778933796725072
frontal_ed_ratio,449.0,0.04536568426730428,0.05240846290456242,0.0,0.0075371293764409,0.0265404831626355,0.0632122655597382,0.2462996076413456
frontal_en_ratio,449.0,0.012919193740429638,0.018863974901922494,0.0,0.0002032051304129,0.0050744316041943,0.0173364820503167,0.1074441458861739
frontal_nc_ratio,449.0,0.00807208739109602,0.018098700008324108,0.0,0.0,0.0009202481936712,0.0074289419678897,0.2325481149614204
temporal_ed_ratio,449.0,0.04606176643660768,0.05500647266728801,0.0,0.003857535523153,0.0244579650316735,0.0685693593165327,0.3259336430269276
temporal_en_ratio,449.0,0.014721559214937119,0.02165801492730006,0.0,0.0,0.0041874044071123,0.0220345244407809,0.1177225295889067
temporal_nc_ratio,449.0,0.008227598913677473,0.015920110258235642,0.0,0.0,0.0002770233837416,0.009166319057601,0.1212486931923006
parietal_ed_ratio,449.0,0.0370765717130333,0.05336751639125387,0.0,0.000548138157392,0.0140318822430482,0.0516071003005865,0.3017473621192846
parietal_en_ratio,449.0,0.010199980661148978,0.019014905044874738,0.0,0.0,5.058523222512763e-05,0.012589687171147,0.1075594027567746
parietal_nc_ratio,449.0,0.0051877376365586265,0.013329149073111947,0.0,0.0,0.0,0.0029397374050246,0.1114970051980263
occipital_ed_ratio,449.0,0.014810055094814329,0.02822114606680185,0.0,0.0,0.0003024125803633,0.0151835828197925,0.1830437314360372
occipital_en_ratio,449.0,0.005980789635579053,0.017495841324265012,0.0,0.0,0.0,0.0005839659631267,0.1175325821404353
occipital_nc_ratio,449.0,0.00331102470086385,0.012865689080308773,0.0,0.0,0.0,0.0,0.1191022280471821
