model,balanced_accuracy,macro_f1
LogisticRegression,0.6284722222222222,0.6284153005464481
KNN,0.6041666666666667,0.6028552887735237
RandomForest,0.5555555555555556,0.5553618134263296
GradientBoosting,0.5416666666666667,0.5416394868449663
SVM (RBF),0.5190972222222222,0.4245154245154245
