fold,balanced_accuracy,auc
1,0.6190476190476191,0.6458333333333333
2,0.47916666666666663,0.4503968253968254
3,0.36309523809523814,0.41468253968253965
4,0.5476190476190476,0.4662698412698412
5,0.6607142857142857,0.6339285714285715
6,0.5267857142857143,0.4821428571428571
7,0.5958333333333333,0.6229166666666667
8,0.6469979296066253,0.6645962732919255
9,0.5600414078674948,0.5962732919254657
10,0.6273291925465838,0.6273291925465838
