fpr,mean_tpr,std_tpr
0.0,0.0,0.0
0.005025125628140704,0.06793132328308207,0.05841345043273785
0.010050251256281407,0.06848169418521177,0.05874498474470483
0.01507537688442211,0.06903206508734147,0.05912078839284608
0.020100502512562814,0.06958243598947116,0.0595400231278605
0.02512562814070352,0.07013280689160085,0.06000177859263042
0.03015075376884422,0.07068317779373054,0.060505081281081834
0.035175879396984924,0.07123354869586025,0.06104890362422569
0.04020100502512563,0.07178391959798994,0.06163217303444746
0.04522613065326633,0.125,0.08991839333705567
0.05025125628140704,0.125,0.08991839333705567
0.05527638190954774,0.125,0.08991839333705567
0.06030150753768844,0.125,0.08991839333705567
0.06532663316582915,0.125,0.08991839333705567
0.07035175879396985,0.125,0.08991839333705567
0.07537688442211056,0.125,0.08991839333705567
0.08040201005025126,0.125,0.08991839333705567
0.08542713567839195,0.15898221265055437,0.0952719785264558
0.09045226130653267,0.16472999920236098,0.1029954220490734
0.09547738693467336,0.1657158809922629,0.1036174243694353
0.10050251256281408,0.16670176278216475,0.10427533101880651
0.10552763819095477,0.16768764457206667,0.10496846689098986
0.11055276381909548,0.16867352636196853,0.10569613890793335
0.11557788944723618,0.16965940815187044,0.10645763887520042
0.12060301507537688,0.17064528994177236,0.10725224625133575
0.12562814070351758,0.1955842705591449,0.09285839642966764
0.1306532663316583,0.21676637154024087,0.09073936506589102
0.135678391959799,0.2189008534737178,0.09181212434955352
0.1407035175879397,0.2210353354071947,0.09302030898780601
0.1457286432160804,0.2231698173406716,0.09435871709804093
0.15075376884422112,0.22530429927414852,0.09582189208203692
0.15577889447236182,0.22743878120762542,0.09740421147756975
0.16080402010050251,0.22957326314110232,0.09909996834785026
0.1658291457286432,0.23170774507457925,0.1009034436534002
0.1708542713567839,0.24214445242083432,0.10888959346630392
0.17587939698492464,0.26633684294488313,0.11023917087720682
0.18090452261306533,0.26671970965940817,0.10989527240270494
0.18592964824120603,0.26710257637393314,0.1095623364200266
0.19095477386934673,0.2674854430884581,0.10924046316152769
0.19597989949748745,0.26786830980298315,0.10892975069398962
0.20100502512562815,0.2682511765175081,0.10863029478623362
0.20603015075376885,0.26863404323203316,0.10834218877710078
0.21105527638190955,0.29738095238095236,0.11299092934115855
0.21608040201005024,0.29738095238095236,0.11299092934115855
0.22110552763819097,0.3164285714285714,0.1319161504452708
0.22613065326633167,0.3164285714285714,0.1319161504452708
0.23115577889447236,0.3164285714285714,0.1319161504452708
0.23618090452261306,0.3164285714285714,0.1319161504452708
0.24120603015075376,0.3164285714285714,0.1319161504452708
0.24623115577889448,0.3164285714285714,0.1319161504452708
0.25125628140703515,0.32119047619047614,0.13158052809648416
0.2562814070351759,0.32119047619047614,0.13158052809648416
0.2613065326633166,0.33547619047619043,0.13467206327167613
0.2663316582914573,0.33547619047619043,0.13467206327167613
0.271356783919598,0.33547619047619043,0.13467206327167613
0.2763819095477387,0.33547619047619043,0.13467206327167613
0.2814070351758794,0.33547619047619043,0.13467206327167613
0.2864321608040201,0.33547619047619043,0.13467206327167613
0.2914572864321608,0.33547619047619043,0.13467206327167613
0.2964824120603015,0.3688095238095238,0.11213476869020754
0.30150753768844224,0.3688095238095238,0.11213476869020754
0.3065326633165829,0.3926190476190476,0.1400536421366362
0.31155778894472363,0.3926190476190476,0.1400536421366362
0.3165829145728643,0.3926190476190476,0.1400536421366362
0.32160804020100503,0.3926190476190476,0.1400536421366362
0.32663316582914576,0.3926190476190476,0.1400536421366362
0.3316582914572864,0.3926190476190476,0.1400536421366362
0.33668341708542715,0.4597619047619047,0.11087392484657677
0.3417085427135678,0.4597619047619047,0.11087392484657677
0.34673366834170855,0.4597619047619047,0.11087392484657677
0.35175879396984927,0.4692857142857143,0.11970508924027698
0.35678391959798994,0.4692857142857143,0.11970508924027698
0.36180904522613067,0.4692857142857143,0.11970508924027698
0.36683417085427134,0.4692857142857143,0.11970508924027698
0.37185929648241206,0.4692857142857143,0.11970508924027698
0.3768844221105528,0.4788095238095239,0.10364365297846798
0.38190954773869346,0.4788095238095239,0.10364365297846798
0.3869346733668342,0.4788095238095239,0.10364365297846798
0.3919597989949749,0.48357142857142865,0.10450428280561785
0.3969849246231156,0.48357142857142865,0.10450428280561785
0.4020100502512563,0.48357142857142865,0.10450428280561785
0.40703517587939697,0.48357142857142865,0.10450428280561785
0.4120603015075377,0.48357142857142865,0.10450428280561785
0.4170854271356784,0.535952380952381,0.09482320343300502
0.4221105527638191,0.535952380952381,0.09482320343300502
0.4271356783919598,0.535952380952381,0.09482320343300502
0.4321608040201005,0.535952380952381,0.09482320343300502
0.4371859296482412,0.5407142857142857,0.0928782027400277
0.44221105527638194,0.5407142857142857,0.0928782027400277
0.4472361809045226,0.5407142857142857,0.0928782027400277
0.45226130653266333,0.5407142857142857,0.0928782027400277
0.457286432160804,0.5407142857142857,0.0928782027400277
0.4623115577889447,0.5978571428571429,0.06231048364346151
0.46733668341708545,0.5978571428571429,0.06231048364346151
0.4723618090452261,0.5978571428571429,0.06231048364346151
0.47738693467336685,0.5978571428571429,0.06231048364346151
0.4824120603015075,0.6026190476190476,0.0720799663009779
