model,balanced_accuracy,macro_f1
GradientBoosting,0.5474910394265233,0.5472972972972974
LogisticRegression,0.49238351254480284,0.47767540751240256
RandomForest,0.4852150537634409,0.4832123411978222
KNN,0.4413082437275986,0.43977401129943505
