patient_id,UCSF-PDGM-0010,UCSF-PDGM-0011,UCSF-PDGM-0012,UCSF-PDGM-0015,UCSF-PDGM-0016,UCSF-PDGM-0029,UCSF-PDGM-0030,UCSF-PDGM-0032,UCSF-PDGM-0034,UCSF-PDGM-0035,UCSF-PDGM-0038,UCSF-PDGM-0039,UCSF-PDGM-0041,UCSF-PDGM-0046,UCSF-PDGM-0048,UCSF-PDGM-0065,UCSF-PDGM-0076,UCSF-PDGM-0077,UCSF-PDGM-0082,UCSF-PDGM-0094,UCSF-PDGM-0097,UCSF-PDGM-0104,UCSF-PDGM-0107,UCSF-PDGM-0111,UCSF-PDGM-0114,UCSF-PDGM-0118,UCSF-PDGM-0133,UCSF-PDGM-0140,UCSF-PDGM-0143,UCSF-PDGM-0144,UCSF-PDGM-0148,UCSF-PDGM-0149,UCSF-PDGM-0158,UCSF-PDGM-0165,UCSF-PDGM-0173,UCSF-PDGM-0187,UCSF-PDGM-0196,UCSF-PDGM-0200,UCSF-PDGM-0205,UCSF-PDGM-0206,UCSF-PDGM-0208,UCSF-PDGM-0212,UCSF-PDGM-0215,UCSF-PDGM-0225,UCSF-PDGM-0239,UCSF-PDGM-0246,UCSF-PDGM-0247,UCSF-PDGM-0249,UCSF-PDGM-0250,UCSF-PDGM-0267,UCSF-PDGM-0270,UCSF-PDGM-0279,UCSF-PDGM-0306,UCSF-PDGM-0310,UCSF-PDGM-0312,UCSF-PDGM-0314,UCSF-PDGM-0318,UCSF-PDGM-0324,UCSF-PDGM-0325,UCSF-PDGM-0332,UCSF-PDGM-0336,UCSF-PDGM-0373,UCSF-PDGM-0382,UCSF-PDGM-0387,UCSF-PDGM-0397,UCSF-PDGM-0401,UCSF-PDGM-0402,UCSF-PDGM-0403,UCSF-PDGM-0406,UCSF-PDGM-0407,UCSF-PDGM-0434,UCSF-PDGM-0446,UCSF-PDGM-0447,UCSF-PDGM-0448,UCSF-PDGM-0452,UCSF-PDGM-0453,UCSF-PDGM-0455,UCSF-PDGM-0458,UCSF-PDGM-0459,UCSF-PDGM-0460,UCSF-PDGM-0461,UCSF-PDGM-0462,UCSF-PDGM-0463,UCSF-PDGM-0464,UCSF-PDGM-0465,UCSF-PDGM-0467,UCSF-PDGM-0470,UCSF-PDGM-0472,UCSF-PDGM-0480,UCSF-PDGM-0484,UCSF-PDGM-0487,UCSF-PDGM-0488,UCSF-PDGM-0493,UCSF-PDGM-0494,UCSF-PDGM-0495,UCSF-PDGM-0496,UCSF-PDGM-0498,UCSF-PDGM-0499,UCSF-PDGM-0502,UCSF-PDGM-0506,UCSF-PDGM-0507,UCSF-PDGM-0508,UCSF-PDGM-0511,UCSF-PDGM-0513,UCSF-PDGM-0515,UCSF-PDGM-0517,UCSF-PDGM-0523,UCSF-PDGM-0525,UCSF-PDGM-0526,UCSF-PDGM-0527,UCSF-PDGM-0528,UCSF-PDGM-0529,UCSF-PDGM-0530,UCSF-PDGM-0531,UCSF-PDGM-0534
UCSF-PDGM-0010,1.0,0.9968938422802457,0.9266234717975451,0.9701101145805676,0.6512003301272704,0.6030415389084472,0.19110451676329537,0.5573592076346573,0.36008093023146787,0.5447556892956777,0.9376092431669747,0.6766126847751281,0.5927709498745352,0.5879789255894725,0.8973560401699824,0.887007926565502,0.10329269483453496,0.9361501982966175,0.7057841168891672,0.8951163107001314,0.18154839210217077,0.9457346613581461,0.970636777995757,0.9879218257671973,0.9869575713422992,0.6123944752009045,0.9744640462982819,0.632337668613498,0.9829392008321082,0.8533526717047778,0.9868661604855161,0.6922633454347157,0.8661297520810197,0.9050637259266202,0.5965772074091553,0.9699505839758749,0.6631752287283327,0.5694176918537626,0.9833035474815379,0.6633045948021422,0.9580698741476512,0.5988331729251547,0.9358737030637616,0.9417990727144088,0.9686591744555022,0.9606466227749493,0.9691568343140988,0.9638940110622859,0.9617727301700388,0.9653512216020179,0.984573164493792,0.5333109861526215,0.5096331271542186,0.979946485634119,0.8696390725343401,0.8436415469146916,0.9807092583923726,0.9561860240209274,0.7222336660211249,0.9684887479191369,0.803091479933674,0.9799710294598858,0.9586248045361764,0.7904516637314726,0.9799450140623184,0.9694839882980351,0.9850551332770977,0.8687453114337381,0.8132819042667272,0.9888569416478483,0.8938763886359237,0.6730718848566732,0.9761709999542418,0.9630979561668365,0.943876668295165,0.3693011859972655,0.8786339055394651,0.3823370998137971,0.014482678850128595,0.9758355710245085,0.9714942768480506,0.8508878355371579,0.3805616412089467,0.6921129249136176,0.9755082417856045,0.9794969857866845,0.9772760978532444,0.9189513616614043,0.9591364929257666,0.8268701046577859,0.7177613502523926,0.8371903210582735,0.6271789400695121,0.5639102487542216,0.8267408626900571,0.9695270357709717,0.7491510883427321,0.6204103516407103,-0.483591531555611,0.6286869026139926,0.8317647762893069,0.9348562548937731,0.3981160139038879,0.4368955884853101,0.9421756826743662,0.9526092623928483,0.5707614177737788,0.9460678617964915,0.5920790982855303,0.7131112989265415,0.8927465445342603,0.8466711086214518,0.9708686673557606,0.9980296762705078,0.9786893967399872
UCSF-PDGM-0011,0.9968938422802457,1.0,0.947968507572205,0.9740118885446087,0.7041621176193119,0.6102383688722016,0.22568626017614293,0.5545991807233435,0.3521804908728871,0.5507060450931547,0.9502757792615921,0.6658307566113851,0.5750710954898914,0.5743926074228494,0.9179065016757124,0.904581997124045,0.11787538837202431,0.9519407087517799,0.7273321302252505,0.9191427420642279,0.18949949510456948,0.9625129304310539,0.9833002796818069,0.987442118134269,0.9852593588035581,0.6028086006363819,0.9846223988823004,0.6231529188406004,0.9851014946727008,0.8843579489447345,0.9896701740039335,0.7446589591247037,0.8970061715476819,0.9321821704422686,0.5900901822778778,0.9701694738618759,0.6531573760875827,0.6059148038277609,0.9904606038150507,0.6570246531106753,0.9700043886415918,0.6039402010790501,0.9586561130489519,0.958439027256799,0.9651064861193343,0.9589739423583451,0.9655690080114849,0.9619352401295374,0.9600060281359628,0.9632457565790226,0.9914578528723503,0.5426036363458019,0.5036470791265663,0.9909444866249822,0.9021475608209402,0.873456973310745,0.9729130096843559,0.971022864814336,0.7636231201312496,0.9757215810080404,0.8298821158838869,0.9910376253136111,0.9656720025541159,0.834727839658724,0.9846319269040017,0.9707295815116217,0.9935866473190317,0.9026090689034586,0.8285358336357073,0.9864844927080981,0.9119891729440541,0.6634192667335456,0.9692722024491621,0.9620707222103762,0.9621727359195708,0.3959444050804215,0.8883426811566107,0.39098638739725416,0.06111019020569344,0.9746393289796438,0.9785583605668207,0.8778873405713455,0.3743997026455605,0.7342108498847009,0.9724944267619197,0.9765307783921908,0.9843787270987544,0.9392212987818769,0.9706033643719423,0.8567063236005334,0.7493918657263039,0.8753013169201007,0.6127490263993558,0.5693591688526667,0.8612180773106654,0.9613400786982054,0.7749646015642945,0.6145457010862406,-0.4833346908557086,0.6199175718236314,0.8716181106224302,0.9566039119388394,0.40328913268395405,0.4376554588206356,0.9606875052608496,0.9725324105231941,0.5721367302009014,0.9636238788269075,0.5988015669569259,0.7546658204787535,0.9007198723346137,0.8811252469996843,0.9708212448959525,0.9959627102509839,0.9834142804927146
UCSF-PDGM-0012,0.9266234717975451,0.947968507572205,1.0,0.9358889432056106,0.8611544042663466,0.5913799250259705,0.3145574650719374,0.4853813861285532,0.3147959167374824,0.5567500728521265,0.9886028276389044,0.5960893920670325,0.5222277381536039,0.4985000657372163,0.8936853305100197,0.9826074655801565,0.16506302638708514,0.992986306170991,0.7469300387212287,0.993557463689301,0.20702242027229817,0.9837477106632995,0.967850086225033,0.9434559294726736,0.9315307481108206,0.5389878595828769,0.9811104458468366,0.5620154457130331,0.9505392528154462,0.9814664721440373,0.918742488400744,0.8402814338437651,0.9872091383877976,0.9591716812663009,0.5281413792658867,0.9492605576068777,0.5748671717541436,0.672721963174779,0.9683491287549615,0.6025588866028441,0.9790267240067084,0.5739142505006624,0.983364994556479,0.9932958869677181,0.8760714112600229,0.8878663834990042,0.8768610161879864,0.8937170019345415,0.8898425218685961,0.8965284583378025,0.9588775973636302,0.5268620574301804,0.4359191308357045,0.9763970300015232,0.931569789134458,0.977343170117488,0.9011624950631879,0.9610551128603038,0.9024670765511187,0.9429251663096907,0.9219603571125868,0.9744632999280943,0.9334657445246631,0.91519754607281,0.9319578794309377,0.9224153834529043,0.9439440387832507,0.9447846456764954,0.872076052482344,0.9187688949358008,0.9241110958807653,0.591602954483008,0.9072601041996764,0.8911957510729521,0.990653144774498,0.5151339565959389,0.9540321938001394,0.3935556841315935,0.2100845664086969,0.9250578314521665,0.9585992376349786,0.9273364707568225,0.29053123556576804,0.8166332610897687,0.9226992229436597,0.9131287648489737,0.9475123426329398,0.9483149269562264,0.9804238760454226,0.9004365161233863,0.8482868617389504,0.9686420270052399,0.5534068490017408,0.5261560631104557,0.9068900861298339,0.8673266198381862,0.8216929812268753,0.5714218326918652,-0.4490393844555589,0.5493879231679971,0.9292338517569312,0.9785365705886383,0.44232397768090415,0.43609027771925146,0.9765329287204969,0.968955827367138,0.5585617510327049,0.947830191925554,0.5662806156524041,0.8950916008674394,0.8411107356761921,0.9779229234587391,0.9452004839610313,0.9397173054443627,0.917434617394484
UCSF-PDGM-0015,0.9701101145805676,0.9740118885446087,0.9358889432056106,1.0,0.6814454184105415,0.6636939641672479,0.1701811316772453,0.5397922444043702,0.33861463487378024,0.610080853397633,0.9575336680321431,0.7048045997819156,0.605466559044853,0.6059076555800836,0.83623272613989,0.9080235869312481,0.09620578683950141,0.9590682513503664,0.6348668914910576,0.9010377274326209,0.19034219448858292,0.9790648040087772,0.9872541336525408,0.991407841298717,0.9929459843482845,0.6656451441916614,0.982107365580747,0.6075137863370935,0.9773358611034485,0.8887506977348828,0.9789729765005999,0.7399314631752932,0.8804401009159576,0.9276793310960976,0.6049406561425238,0.9847878573631358,0.7072761525390998,0.5190430825651756,0.9879693400723303,0.7069937536913906,0.9831275244335251,0.6651269538127575,0.9553641281521341,0.95673216858557,0.9832180798628903,0.9915654497953695,0.983558008139296,0.9935248525164594,0.9922706738751983,0.9943131542645836,0.9463820953395974,0.5934041433177889,0.508647593361191,0.979024404886135,0.9183496613985284,0.8586969272893252,0.9536718249867501,0.9882986041748126,0.7610428950586834,0.9972687470597102,0.8526923049055436,0.9816707616895555,0.984640450831164,0.8247952447819215,0.9921657369499561,0.9990963960214342,0.9675185129172789,0.8499059269501662,0.8302682107074816,0.9915411240449318,0.8837476346643274,0.7137570962283682,0.9841458509802861,0.9907560537191938,0.9305765068970877,0.3347164445013369,0.8811050474202765,0.3611654588345069,0.11822906596159673,0.9966786085089868,0.9967498507619005,0.8327838632028502,0.3749548049412593,0.7860238882882712,0.9937535080765952,0.9926204087184956,0.9939360500166073,0.9561262469695425,0.9808923587209177,0.8816993781116953,0.6824039508401226,0.876019108563952,0.629338848161999,0.5728289706417703,0.8794435913581286,0.9322437513398749,0.7089364006324133,0.6762914071404348,-0.4957602928743824,0.6834048538456807,0.8594065058689004,0.9140300654126323,0.3707027600743004,0.4368605446828017,0.9300643708627182,0.9663446939977043,0.6381148425284583,0.9603900493548297,0.5817834281944885,0.7536087109753763,0.8237143220669267,0.8650568393995166,0.9864454175647762,0.9688097110535389,0.9852614063659513
UCSF-PDGM-0016,0.6512003301272704,0.7041621176193119,0.8611544042663466,0.6814454184105415,1.0,0.4059157877864647,0.4801479311421255,0.29033051600106585,0.16518583294886455,0.37255645850488606,0.7907429389872168,0.3075682647097324,0.19616097075315947,0.21566141578223347,0.7947013713184886,0.8390769682808246,0.2576734705358745,0.8102144725331385,0.7370705905400158,0.8919845659450978,0.15400825966680345,0.80545135470086,0.7743802129158015,0.6630259840937694,0.6455304773276193,0.2688282886574431,0.765779791121571,0.3240742480842192,0.68442926826898,0.9235193599199454,0.6812455222498274,0.9331815264542416,0.9271665065740554,0.8835399105037153,0.2796158063525079,0.6665111612587163,0.29651814919498415,0.8103640262439958,0.7296268611967894,0.33553313061098505,0.762043039203823,0.3849515881998255,0.8540517523600641,0.8118930987577095,0.5987429088292945,0.613320335827229,0.5990160099488754,0.6150989830958509,0.613942572620318,0.6158778779512762,0.7409978458486419,0.3925809982362267,0.2203476417267077,0.7773943367416094,0.8599154539985416,0.9264522084624132,0.604442238677648,0.7699792832169612,0.9714407824068032,0.7123052543888472,0.8916978168265802,0.7697812155324708,0.7134936530178083,0.9559914270455689,0.6961741148611594,0.6545353886057966,0.7412854508325274,0.9047488269073295,0.761375830679884,0.6365247704772289,0.8321208136501642,0.3101327357775992,0.5921785750843657,0.6203211233014122,0.8343024986562386,0.6232688496540123,0.761015613611915,0.3258028500408398,0.4345452489627535,0.6400352125613344,0.7196855632032779,0.9016995952151866,0.1471587192095041,0.8182506907488051,0.6262204603001894,0.6212979902881618,0.7153336012649046,0.8043704494039939,0.7610736694671837,0.8623463575881212,0.8901858399308461,0.9380826247822187,0.2623926200292843,0.3678684482956863,0.8850009034431463,0.6003043844157718,0.8293150270920137,0.3196828957445068,-0.25654380113552083,0.2851557430933069,0.9315546351406755,0.8687150297864819,0.4110418677895741,0.30380862145374843,0.8586864126369957,0.811441677477637,0.3485242525897596,0.7883677206902464,0.41479800123734306,0.9671593335770857,0.6564842084107025,0.9472051098923479,0.6579698930847675,0.6642823996432331,0.6827068239018794
UCSF-PDGM-0029,0.6030415389084472,0.6102383688722016,0.5913799250259705,0.6636939641672479,0.4059157877864647,1.0,0.23660293202543747,0.5164062758064495,0.8322083924836979,0.9693017777023067,0.6144708537545226,0.6523561489521573,0.9005698627258426,0.932183065836904,0.4819545596210139,0.5559806994902242,0.5829497926146093,0.6213314906063172,0.23695460183693534,0.5507077577497889,0.7627417630299752,0.6410548963303478,0.6378518543511569,0.6443887006307881,0.6428911571457075,0.9532560777336319,0.6243408281374857,0.5630344252178731,0.6013828634088366,0.5662756164984359,0.6270665836304407,0.4805627488535874,0.5382133697186996,0.5930782943199288,0.5718435978724073,0.6457280459964876,0.6595312222532318,0.16696556759689302,0.6431554112214121,0.6664640478728573,0.6507238725449467,0.9944836542529936,0.6204915485511956,0.6126070813663649,0.6459992654822364,0.6619927123590316,0.6460609062969463,0.6619540148335095,0.6620213992167069,0.6617879667996762,0.5784469166924727,0.9759300571260392,0.9155067922101379,0.6232698002704823,0.6287645179388643,0.5153888957943928,0.5269738598115018,0.6633061951906533,0.4462641565875092,0.6643262647189792,0.48727858990515216,0.6309631457906623,0.6100782771492441,0.5301770580985046,0.6391145804152008,0.6607344273418299,0.6088680107753446,0.5288984226827084,0.41181202993379123,0.6456147612583154,0.4797384617295316,0.9660032988918688,0.6169963265097054,0.6658302472546763,0.5778183953085213,-0.13327433790192722,0.5157480845714791,0.3783326442436798,0.5745626685677445,0.6624641646089966,0.6619973412347917,0.44348516629126006,0.8319185116365104,0.4678816851782902,0.658387562807352,0.6422167808698174,0.6392588572527779,0.598765313581565,0.6464711647036078,0.5178992090872917,0.3023395344690222,0.5781825228185158,0.9289630973412014,0.5691589389346474,0.5440171304151463,0.5201167597521089,0.26357939265626357,0.9721622610960857,-0.048082735989167395,0.9600374480173698,0.5610035132668582,0.5545043448883724,0.35486990205817,0.8660230973847601,0.5598091249667142,0.6339099195076807,0.9732214918499771,0.6024485034338662,0.5733265951807531,0.4494880570374445,0.41470907898837794,0.5293809001143673,0.6510783618216217,0.6016162633189279,0.6404449331207397
UCSF-PDGM-0030,0.19110451676329537,0.22568626017614293,0.3145574650719374,0.1701811316772453,0.4801479311421255,0.23660293202543747,1.0,0.7053303786119739,0.1361976511650901,0.19880433223310673,0.24281469887691992,0.508505594451931,0.0336070827999429,0.08733294184448233,0.38514120313287886,0.2780407816163942,0.3169187440251904,0.25986017606348566,0.35467615156109805,0.33985484348938433,0.12496358551655233,0.25399433066685567,0.254252108438227,0.1704849647328888,0.16074254639819147,0.09351787597934316,0.2375636600325804,0.6552771154274492,0.1555683063503441,0.3593466703922926,0.21199432809682126,0.43125405632722563,0.3686585292831927,0.3476227284716738,0.16246012561063566,0.15792623807850797,0.4924990567616297,0.4556258935337033,0.22425347575959298,0.5300227669547377,0.22844156554322415,0.21114309679755028,0.32619855025515254,0.2713546864361059,0.14118785275786352,0.13061308587464088,0.14111181354904762,0.12980798532782842,0.1303569560470225,0.1293652904941636,0.27385370083770166,0.24703237567972106,0.15885073194824492,0.2653273319883181,0.3385875070625769,0.37518862529569813,0.0900147700860506,0.23976286140098485,0.4113220764137537,0.19496068903686828,0.309986951326112,0.26067142766094586,0.18162077836047974,0.4280624264085268,0.19132931023055244,0.14871797323260777,0.26178050573831835,0.4247844321841163,0.21467366367126936,0.16112361035373052,0.3288004756233725,0.1382272805829046,0.09558503591168632,0.14051267647358856,0.3262160010132413,0.09233934244183908,0.22869591642777018,0.8776200847688845,0.35039141806226576,0.14404224481201003,0.19867909645749599,0.3961843582934279,0.13250824911200995,0.2049790180189128,0.13349514285359299,0.1213115432031821,0.20266993111211154,0.26128692103837703,0.22460161233571183,0.2991743318646423,0.42346647201501725,0.3808202441329622,0.1437988371929628,0.7483218802942725,0.34162891823104413,0.14632030194250129,0.32281133527857175,0.138682552874336,-0.16316624333444846,0.10897044019785063,0.405526222397392,0.364327720028821,0.8568279296649436,0.25949380135997074,0.33324831398604765,0.2954241983482079,0.16640249984103384,0.27760309331247685,0.7652007235239974,0.4092094014189562,0.1936554798200622,0.3896495727639607,0.1546312123712042,0.19537973819172097,0.20816810668915078
UCSF-PDGM-0032,0.5573592076346573,0.5545991807233435,0.4853813861285532,0.5397922444043702,0.29033051600106585,0.5164062758064495,0.7053303786119739,1.0,0.2966398982536266,0.44637565858848505,0.49378838328337893,0.9322258171640665,0.46608960007256617,0.4728285357504612,0.4769795729428735,0.43070241100085543,0.0796208754819724,0.49733717524394894,0.23491320714487657,0.449126317766674,0.1624518510901462,0.5069853048393054,0.5278325046313902,0.5523404347863571,0.5472287323292895,0.48947945090030226,0.5229145688944628,0.9746969687660333,0.5251082616988516,0.4273528997247879,0.5578312071982436,0.34688825498540593,0.42651934043052037,0.4824081634251824,0.5043222850935296,0.5362674129796379,0.9175914190829089,0.15514864138841195,0.5471189052324859,0.9280711601801501,0.5263833060212643,0.5076117620362035,0.5034477902681571,0.49715358888369904,0.5496575395859246,0.5437328954901082,0.5497693022075819,0.544137063893448,0.5438995711317096,0.5442247784408439,0.5373499113834038,0.4523128212716373,0.43274517172642524,0.5349639766555155,0.48453892531450865,0.39870251965417247,0.4759451006536536,0.5382876874888397,0.3152156521026085,0.544796266552219,0.3320465396475246,0.5395747706452214,0.48820408369495094,0.40865620040657247,0.5433875754497645,0.538812025151591,0.5492304182733615,0.46825927875619117,0.285882910338845,0.5595781569007258,0.3930181028831375,0.5536309638509309,0.521596416500465,0.5529351880653325,0.4977369390621142,-0.1530263302289651,0.4072016568855932,0.9117913541544165,0.03358959544097304,0.5514986369380559,0.5422262516379988,0.36983579972975356,0.325015283873899,0.28160122164871265,0.5499289644556792,0.5455200253672619,0.5312290495517882,0.4572402254331316,0.5277104631742984,0.35964986131440213,0.24729378703205612,0.4417552422557724,0.5032037865628087,0.9818465242170832,0.39166031622012193,0.4831113361108231,0.22372582307517308,0.49973079213839566,-0.4434375636961255,0.5101098999282376,0.4498425755940641,0.49003596802364247,0.829827479324737,0.3524238205887067,0.48808005650817154,0.5302616168704714,0.4629936371485393,0.4948295581969253,0.9833375931252781,0.3192857477425881,0.4365495270948528,0.41436002212829826,0.5409013120630979,0.5523667367475147,0.5505392068862048
UCSF-PDGM-0034,0.36008093023146787,0.3521804908728871,0.3147959167374824,0.33861463487378024,0.16518583294886455,0.8322083924836979,0.1361976511650901,0.2966398982536266,1.0,0.8542665075156308,0.3300822609302113,0.35023824758374017,0.8548744662342347,0.8787274389338982,0.29104976567382723,0.29871635372283184,0.7950592418690121,0.3276755582678161,0.18936782452838016,0.29415721433499575,0.9353730090671862,0.3214769408014741,0.32673184366215846,0.35709118183816513,0.35262905151156254,0.8192527894152749,0.33655487558330477,0.3581311927420302,0.33212989068650783,0.2742483692510724,0.3385536526588362,0.18324056925999976,0.2753094407859857,0.27844961660826256,0.31369451076059424,0.3552375463968805,0.33579680163645037,0.09614278650069723,0.34952853210108337,0.344407587789022,0.3404044176854467,0.8225918718583201,0.31163481558548994,0.32888678165561497,0.33381980778119535,0.3325369896254669,0.3342216764801882,0.33559704460845724,0.33356232786516143,0.3370966324155282,0.3473535787351941,0.8571302473721132,0.9232281772638165,0.33821088748951605,0.2778158121396199,0.26724809812713035,0.32256516464084234,0.32620012984979097,0.18936967022619824,0.3333651358256713,0.21659256699049165,0.33766003416505835,0.30908182443752574,0.2244672267103107,0.3290872658434758,0.3379296316795483,0.33567295275545755,0.27889915255354525,0.2305555773248773,0.35057531253135704,0.2613511202471131,0.7971103717705,0.3398770267468299,0.33551788283059863,0.32776348400619765,-0.05431154480624332,0.31346664547117076,0.25019704201349213,0.5680508737873244,0.34979159958455913,0.3421275811575903,0.2550406353245654,0.9326860976499167,0.1399142963262958,0.35343016763830704,0.3387432386713383,0.3315056015173885,0.28891526134435536,0.34093718534329803,0.21660771419284533,0.20393179567101227,0.26755664511886834,0.8842594641566173,0.31057022577110105,0.22621367459062117,0.3316349525344734,0.1721015019865532,0.8289947016299262,0.3475299720996361,0.8032484045036231,0.2469244866475573,0.31240101841829454,0.252885097177914,0.9338785056786066,0.3079669428795819,0.32016916059770645,0.841357115239942,0.30354635280399184,0.3259549993080859,0.1884181784657337,0.24601476671949887,0.2617416515947463,0.35741341507864394,0.3614518370421724,0.33212151928046507
UCSF-PDGM-0035,0.5447556892956777,0.5507060450931547,0.5567500728521265,0.610080853397633,0.37255645850488606,0.9693017777023067,0.19880433223310673,0.44637565858848505,0.8542665075156308,1.0,0.5881238996262422,0.5961862708239359,0.9148676236534997,0.950721940156781,0.41606078536467683,0.5466908163666623,0.6689226454448292,0.5904963364298856,0.25986696101498086,0.5214606236369266,0.7917576214430937,0.5999276234166997,0.5790530879342375,0.5952179636455429,0.5942834667915569,0.9609925708401577,0.5858334013800813,0.5110913757913301,0.5435996645690258,0.528587286577464,0.5492662772536164,0.4366155710934225,0.51343028867261,0.5192179719318004,0.5152129749788433,0.6109714175974635,0.5968352429297425,0.16339699503794172,0.5916320658932807,0.6098829300772332,0.6105653329006249,0.9722255976805615,0.5593098459911093,0.5856336853438098,0.5716177620394407,0.5956833794486592,0.5720611694787883,0.59894885146194,0.5967926043890902,0.6004959349942123,0.5247386174879576,0.9735933147323299,0.933407624672019,0.5637003718484805,0.5560016684011289,0.4927864958938833,0.49643486749235877,0.6006784214062216,0.41672565010709156,0.6012400780862547,0.47344359863229385,0.5713717507300136,0.581517858934197,0.46656659845558257,0.5782764876401989,0.609117080182989,0.5350362315901739,0.4650527734116822,0.4607022245078448,0.5823453856302507,0.44480327687570737,0.927249819445785,0.5810817649317614,0.5927387758538863,0.5374391230673726,-0.07964594463448069,0.5366281520303188,0.3561276086815155,0.6557889292887976,0.6084930863013142,0.6087939985752303,0.4116350870701988,0.8672895987327414,0.4384832982423162,0.6091942585472088,0.5793291472298746,0.59194785809381,0.5700797412324388,0.6088991911781689,0.49976759567989426,0.31144309752796523,0.5341011191526682,0.9453031837480109,0.5149818763176429,0.5054225976038149,0.49040360956250323,0.27288084361721276,0.9719767575140107,0.011526223421291988,0.9487763900637525,0.4884452009090972,0.4949222999303389,0.3234256080118213,0.9260015043034682,0.49958974282772706,0.5713367553510663,0.9950223457399745,0.5564758565401497,0.5059776239794094,0.41398183792656074,0.3166630434450525,0.4988531891137788,0.6143838576735763,0.5522696607805511,0.5666689196024045
