fold,balanced_accuracy,auc
1,0.46130952380952384,0.4712301587301587
2,0.5,0.5654761904761905
3,0.5089285714285714,0.47420634920634924
4,0.5238095238095238,0.47817460317460314
5,0.5,0.5753968253968254
6,0.46726190476190477,0.494047619047619
7,0.5059523809523809,0.5456349206349206
8,0.5,0.43253968253968256
9,0.4821428571428571,0.39880952380952384
10,0.5,0.41875
